grupo;descricao_provisoria;n_fotos;fotos_originais;foto_principal;nota
01;Vermelho com tubo rosa;2;"DSC_9167.jpg;DSC_9168.jpg";kultu-01-01.jpg;
02;Vermelho com óculos verdes;2;"DSC_9169.jpg;DSC_9170.jpg";kultu-02-01.jpg;
03;Branco escorrido a preto;2;"DSC_9171.jpg;DSC_9172.jpg";kultu-03-01.jpg;
04;Padrão vaca com pena preta;3;"DSC_9173.jpg;DSC_9174.jpg;DSC_9175.jpg";kultu-04-01.jpg;
05;Grafíti multicolor com penas;2;"DSC_9176.jpg;DSC_9177.jpg";kultu-05-01.jpg;
06;Azul e amarelo com penacho multicolor;2;"DSC_9179.jpg;DSC_9180.jpg";kultu-06-01.jpg;
07;Cobre com pins metálicos;3;"DSC_9181.jpg;DSC_9182.jpg;DSC_9183.jpg";kultu-07-01.jpg;
08;Bronze com coroa de contas;3;"DSC_9184.jpg;DSC_9185.jpg;DSC_9186.jpg";kultu-08-01.jpg;
09;Cinza-esverdeado com pompons verdes;2;"DSC_9187.jpg;DSC_9188.jpg";kultu-09-01.jpg;
10;Amarelo com penas pretas;2;"DSC_9189.jpg;DSC_9190.jpg";kultu-10-01.jpg;
11;Drip multicolor com pena rosa;2;"DSC_9191.jpg;DSC_9192.jpg";kultu-11-01.jpg;
12;Pátina turquesa com arame laranja;2;"DSC_9193.jpg;DSC_9194.jpg";kultu-12-01.jpg;
13;Dourado com corrente;2;"DSC_9195.jpg;DSC_9196.jpg";kultu-13-01.jpg;
14;Cinza e vermelho com penas rosa;2;"DSC_9197.jpg;DSC_9198.jpg";kultu-14-01.jpg;
15;Rosa com pena turquesa;2;"DSC_9199.jpg;DSC_9200.jpg";kultu-15-01.jpg;
16;Iridescente lilás;2;"DSC_9201.jpg;DSC_9202.jpg";kultu-16-01.jpg;
17;Dourado com corrente grossa;1;DSC_9203.jpg;kultu-17-01.jpg;VALIDAR: pode pertencer ao grupo 18
18;Cobre com corrente grossa;3;"DSC_9204.jpg;DSC_9205.jpg;DSC_9206.jpg";kultu-18-01.jpg;
19;Preto e prata com penas amarelas;3;"DSC_9207.jpg;DSC_9208.jpg;DSC_9209.jpg";kultu-19-01.jpg;
20;Drip multicolor com penas coloridas;2;"DSC_9210.jpg;DSC_9211.jpg";kultu-20-01.jpg;
21;Riscas azul/amarelo/rosa com penas pretas;2;"DSC_9212.jpg;DSC_9213.jpg";kultu-21-01.jpg;
22;Olhos móveis com penas amarelas;2;"DSC_9214.jpg;DSC_9215.jpg";kultu-22-01.jpg;
23;Prata com penas pretas e detalhe vermelho;4;"DSC_9216.jpg;DSC_9217.jpg;DSC_9218.jpg;DSC_9219.jpg";kultu-23-01.jpg;
24;"Turquesa com ""cabelo"" azul";2;"DSC_9220.jpg;DSC_9221.jpg";kultu-24-01.jpg;
25;Vermelho com rádio no topo;2;"DSC_9222.jpg;DSC_9223.jpg";kultu-25-01.jpg;
26;Metade azul, metade amarelo com penacho;2;"DSC_9224.jpg;DSC_9225.jpg";kultu-26-01.jpg;
27;Vermelho drip com franja vermelha;2;"DSC_9226.jpg;DSC_9227.jpg";kultu-27-01.jpg;
28;Azul com projéteis e laço vermelho;3;"DSC_9228.jpg;DSC_9229.jpg;DSC_9230.jpg";kultu-28-01.jpg;
29;Preto com renda branca no topo;2;"DSC_9231.jpg;DSC_9232.jpg";kultu-29-01.jpg;
30;Transparente drip com arame laranja;2;"DSC_9233.jpg;DSC_9234.jpg";kultu-30-01.jpg;
31;Prata e vermelho com correntes;4;"DSC_9235.jpg;DSC_9236.jpg;DSC_9237.jpg;DSC_9238.jpg";kultu-31-01.jpg;
32;Prata com cordões e jóias;2;"DSC_9239.jpg;DSC_9240.jpg";kultu-32-01.jpg;
33;Vermelho com arame vermelho longo;2;"DSC_9241.jpg;DSC_9242.jpg";kultu-33-01.jpg;
34;Âmbar com sinos dourados;2;"DSC_9243.jpg;DSC_9244.jpg";kultu-34-01.jpg;
35;Laranja com espirais coloridas;2;"DSC_9245.jpg;DSC_9246.jpg";kultu-35-01.jpg;VALIDAR: decoração difere entre as 2 fotos
36;Preto com penas amarelas;5;"DSC_9247.jpg;DSC_9248.jpg;DSC_9249.jpg;DSC_9250.jpg;DSC_9251.jpg";kultu-36-01.jpg;
37;Pintura folk multicolor com serpentes;4;"DSC_9252.jpg;DSC_9253.jpg;DSC_9254.jpg;DSC_9255.jpg";kultu-37-01.jpg;
38;Cinza com penas brancas e cauda;4;"DSC_9256.jpg;DSC_9257.jpg;DSC_9258.jpg;DSC_9259.jpg";kultu-38-01.jpg;
39;Prata com coroa de conchas e contas roxas (shoot 360º);17;"DSC_9260.jpg;DSC_9261.jpg;DSC_9262.jpg;DSC_9263.jpg;DSC_9264.jpg;DSC_9265.jpg;DSC_9266.jpg;DSC_9267.jpg;DSC_9268.jpg;DSC_9269.jpg;DSC_9270.jpg;DSC_9271.jpg;DSC_9272.jpg;DSC_9273.jpg;DSC_9274.jpg;DSC_9275.jpg;DSC_9276.jpg";kultu-39-01.jpg;Garrafa-herói: 17 ângulos
