Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Numero da edicao (product.metafields.custom.numero_da_edicao),Lenda da caveira (product.metafields.custom.lenda)
kultu-001,KULTU N.º 001,"<p><em>Cada caveira é uma obra de arte. Cada garrafa, um brinde à vida. Absinto de edição limitada, assinado por shazequin.</em></p><p>Esta garrafa não saiu de uma linha de produção — saiu das mãos de shazequin.</p><p>Inspirada no Día de Los Muertos, a caveira Kultu não celebra a morte: celebra a memória, a alegria e a vida que continua. Cada peça é pintada individualmente à mão, com técnica mista — acrílico, esmalte, óleo e spray, contorno de silicone e uma seleção própria de acessórios — o que garante que a sua garrafa é, literalmente, a única no mundo com aquele rosto.</p><p>Numerada manualmente, esta é uma edição limitada e exclusiva. Não haverá reedição. Quando esta tiragem acabar, acaba mesmo — e a sua garrafa passa a ser, também ela, uma peça de coleção.</p><p><em>Autêntica e única. Como você.</em></p><h3>Ficha técnica</h3><ul><li>Tipo de bebida: Absinto</li><li>Volume: 70 cl</li><li>Grau alcoólico: 80%</li><li>Edição: Limitada — numerada à mão</li><li>Técnica da garrafa: Acrílico, esmalte, óleo, spray, silicone</li><li>Artista: shazequin</li></ul><p><strong>Confirmação de idade obrigatória antes da compra. Venda proibida a menores de 18 anos. Consuma com responsabilidade.</strong></p>",KULTU by shazequin,Absinto,"kultu, absinto, edição limitada, peça única, pintado à mão, disponivel",TRUE,Title,Default Title,KULTU-001,shopify,1,deny,manual,399.00,TRUE,TRUE,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-001-a.jpg,1,"Garrafa KULTU by shazequin N.º 1 — absinto de edição limitada, caveira pintada à mão",active,1,"[LENDA — texto próprio desta caveira, opcional]"
kultu-001,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-001-b.jpg,2,"Garrafa KULTU by shazequin N.º 1 — absinto de edição limitada, caveira pintada à mão (vista 2)",,,
kultu-002,KULTU N.º 002,"<p><em>Cada caveira é uma obra de arte. Cada garrafa, um brinde à vida. Absinto de edição limitada, assinado por shazequin.</em></p><p>Esta garrafa não saiu de uma linha de produção — saiu das mãos de shazequin.</p><p>Inspirada no Día de Los Muertos, a caveira Kultu não celebra a morte: celebra a memória, a alegria e a vida que continua. Cada peça é pintada individualmente à mão, com técnica mista — acrílico, esmalte, óleo e spray, contorno de silicone e uma seleção própria de acessórios — o que garante que a sua garrafa é, literalmente, a única no mundo com aquele rosto.</p><p>Numerada manualmente, esta é uma edição limitada e exclusiva. Não haverá reedição. Quando esta tiragem acabar, acaba mesmo — e a sua garrafa passa a ser, também ela, uma peça de coleção.</p><p><em>Autêntica e única. Como você.</em></p><h3>Ficha técnica</h3><ul><li>Tipo de bebida: Absinto</li><li>Volume: 70 cl</li><li>Grau alcoólico: 80%</li><li>Edição: Limitada — numerada à mão</li><li>Técnica da garrafa: Acrílico, esmalte, óleo, spray, silicone</li><li>Artista: shazequin</li></ul><p><strong>Confirmação de idade obrigatória antes da compra. Venda proibida a menores de 18 anos. Consuma com responsabilidade.</strong></p>",KULTU by shazequin,Absinto,"kultu, absinto, edição limitada, peça única, pintado à mão, disponivel",TRUE,Title,Default Title,KULTU-002,shopify,1,deny,manual,399.00,TRUE,TRUE,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-002-a.jpg,1,"Garrafa KULTU by shazequin N.º 2 — absinto de edição limitada, caveira pintada à mão",active,2,"[LENDA — texto próprio desta caveira, opcional]"
kultu-002,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-002-b.jpg,2,"Garrafa KULTU by shazequin N.º 2 — absinto de edição limitada, caveira pintada à mão (vista 2)",,,
kultu-003,KULTU N.º 003,"<p><em>Cada caveira é uma obra de arte. Cada garrafa, um brinde à vida. Absinto de edição limitada, assinado por shazequin.</em></p><p>Esta garrafa não saiu de uma linha de produção — saiu das mãos de shazequin.</p><p>Inspirada no Día de Los Muertos, a caveira Kultu não celebra a morte: celebra a memória, a alegria e a vida que continua. Cada peça é pintada individualmente à mão, com técnica mista — acrílico, esmalte, óleo e spray, contorno de silicone e uma seleção própria de acessórios — o que garante que a sua garrafa é, literalmente, a única no mundo com aquele rosto.</p><p>Numerada manualmente, esta é uma edição limitada e exclusiva. Não haverá reedição. Quando esta tiragem acabar, acaba mesmo — e a sua garrafa passa a ser, também ela, uma peça de coleção.</p><p><em>Autêntica e única. Como você.</em></p><h3>Ficha técnica</h3><ul><li>Tipo de bebida: Absinto</li><li>Volume: 70 cl</li><li>Grau alcoólico: 80%</li><li>Edição: Limitada — numerada à mão</li><li>Técnica da garrafa: Acrílico, esmalte, óleo, spray, silicone</li><li>Artista: shazequin</li></ul><p><strong>Confirmação de idade obrigatória antes da compra. Venda proibida a menores de 18 anos. Consuma com responsabilidade.</strong></p>",KULTU by shazequin,Absinto,"kultu, absinto, edição limitada, peça única, pintado à mão, disponivel",TRUE,Title,Default Title,KULTU-003,shopify,1,deny,manual,399.00,TRUE,TRUE,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-003-a.jpg,1,"Garrafa KULTU by shazequin N.º 3 — absinto de edição limitada, caveira pintada à mão",active,3,"[LENDA — texto próprio desta caveira, opcional]"
kultu-003,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-003-b.jpg,2,"Garrafa KULTU by shazequin N.º 3 — absinto de edição limitada, caveira pintada à mão (vista 2)",,,
kultu-004,KULTU N.º 004,"<p><em>Cada caveira é uma obra de arte. Cada garrafa, um brinde à vida. Absinto de edição limitada, assinado por shazequin.</em></p><p>Esta garrafa não saiu de uma linha de produção — saiu das mãos de shazequin.</p><p>Inspirada no Día de Los Muertos, a caveira Kultu não celebra a morte: celebra a memória, a alegria e a vida que continua. Cada peça é pintada individualmente à mão, com técnica mista — acrílico, esmalte, óleo e spray, contorno de silicone e uma seleção própria de acessórios — o que garante que a sua garrafa é, literalmente, a única no mundo com aquele rosto.</p><p>Numerada manualmente, esta é uma edição limitada e exclusiva. Não haverá reedição. Quando esta tiragem acabar, acaba mesmo — e a sua garrafa passa a ser, também ela, uma peça de coleção.</p><p><em>Autêntica e única. Como você.</em></p><h3>Ficha técnica</h3><ul><li>Tipo de bebida: Absinto</li><li>Volume: 70 cl</li><li>Grau alcoólico: 80%</li><li>Edição: Limitada — numerada à mão</li><li>Técnica da garrafa: Acrílico, esmalte, óleo, spray, silicone</li><li>Artista: shazequin</li></ul><p><strong>Confirmação de idade obrigatória antes da compra. Venda proibida a menores de 18 anos. Consuma com responsabilidade.</strong></p>",KULTU by shazequin,Absinto,"kultu, absinto, edição limitada, peça única, pintado à mão, disponivel",TRUE,Title,Default Title,KULTU-004,shopify,1,deny,manual,399.00,TRUE,TRUE,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-004-a.jpg,1,"Garrafa KULTU by shazequin N.º 4 — absinto de edição limitada, caveira pintada à mão",active,4,"[LENDA — texto próprio desta caveira, opcional]"
kultu-004,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-004-b.jpg,2,"Garrafa KULTU by shazequin N.º 4 — absinto de edição limitada, caveira pintada à mão (vista 2)",,,
kultu-005,KULTU N.º 005,"<p><em>Cada caveira é uma obra de arte. Cada garrafa, um brinde à vida. Absinto de edição limitada, assinado por shazequin.</em></p><p>Esta garrafa não saiu de uma linha de produção — saiu das mãos de shazequin.</p><p>Inspirada no Día de Los Muertos, a caveira Kultu não celebra a morte: celebra a memória, a alegria e a vida que continua. Cada peça é pintada individualmente à mão, com técnica mista — acrílico, esmalte, óleo e spray, contorno de silicone e uma seleção própria de acessórios — o que garante que a sua garrafa é, literalmente, a única no mundo com aquele rosto.</p><p>Numerada manualmente, esta é uma edição limitada e exclusiva. Não haverá reedição. Quando esta tiragem acabar, acaba mesmo — e a sua garrafa passa a ser, também ela, uma peça de coleção.</p><p><em>Autêntica e única. Como você.</em></p><h3>Ficha técnica</h3><ul><li>Tipo de bebida: Absinto</li><li>Volume: 70 cl</li><li>Grau alcoólico: 80%</li><li>Edição: Limitada — numerada à mão</li><li>Técnica da garrafa: Acrílico, esmalte, óleo, spray, silicone</li><li>Artista: shazequin</li></ul><p><strong>Confirmação de idade obrigatória antes da compra. Venda proibida a menores de 18 anos. Consuma com responsabilidade.</strong></p>",KULTU by shazequin,Absinto,"kultu, absinto, edição limitada, peça única, pintado à mão, disponivel",TRUE,Title,Default Title,KULTU-005,shopify,1,deny,manual,399.00,TRUE,TRUE,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-005-a.jpg,1,"Garrafa KULTU by shazequin N.º 5 — absinto de edição limitada, caveira pintada à mão",active,5,"[LENDA — texto próprio desta caveira, opcional]"
kultu-005,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-005-b.jpg,2,"Garrafa KULTU by shazequin N.º 5 — absinto de edição limitada, caveira pintada à mão (vista 2)",,,
